year,page,layout,dept_hint,name,is_total,pios,opening,received,total,transferred,replied,rej_s8,rej_s9,rej_s11,rej_s24,rej_other,rej_total,pending,charges_rs,fee_rs,penalty_rs,amount_total_rs,faas,fa_opening,fa_received,fa_total,fa_disposed,fa_rejected,fa_pending,disciplinary,chk_total,chk_disposal,key,canonical,tier
2015,58,W,Higher Edn,Tamil Nadu Archives and Historical Research,0,12,48,7009,7057,266,6702,,,,,,,89,23064,,,,1,,33,33,33,,,,1,1,archives historical research,Tamil Nadu Archives and Historical Research,HOD
2015,58,W,Higher Edn,Tamil Nadu State Council for Higher Education,0,1,,12,12,,12,,,,,,,,,,,,1,,4,4,4,,,,1,1,state council for higher education,Tamil Nadu State Council for Higher Education,HOD
2015,58,W,Higher Edn,Tamil Nadu State Council for Technical Education,0,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,state council for technical education,Tamil Nadu State Council for Technical Education,HOD
2015,58,W,Higher Edn,Tamil Nadu Science and Technology Centre,0,4,,5,5,1,4,,,,,,,,,,,,4,,5,5,5,,,,1,1,science technology centre,Tamil Nadu Science and Technology Centre,HOD
2015,58,W,Higher Edn,Tamil Nadu State Council for Science and Technology,0,1,,2,2,,2,,,,,,,,80,,,,1,,,,,,,,1,1,state council for science technology,Tamil Nadu State Council for Science and Technology,HOD
2015,58,W,Higher Edn,Science City,0,1,,2,2,,2,,,,,,,,,,,,1,,,,,,,,1,1,science city,Science City,HOD
2015,58,W,Higher Edn,University of Madras,0,1,28,1015,1043,4,1013,,,2,,,,24,450,,,,1,2,71,73,67,,6,,1,1,university madras,University of Madras,Body/Corporation
2015,58,W,Higher Edn,Annamalai University,0,3,1,776,777,,777,,,,,,,,,,,,3,,40,40,40,,,,1,1,annamalai university,Annamalai University,Body/Corporation
2015,58,W,Higher Edn,Madurai Kamaraj University,0,1,331,831,1162,,710,,,,,,,452,,,,,1,40,110,150,85,,65,,1,1,madurai kamaraj university,Madurai Kamaraj University,Body/Corporation
2015,58,W,Higher Edn,Manonmaniam Sundaranar University,0,1,,1227,1227,,1175,,,,,,,52,,,,,1,,54,54,38,,16,,1,1,manonmaniam sundaranar university,Manonmaniam Sundaranar University,Body/Corporation
2015,58,W,Higher Edn,Bharathidasan University,0,1,94,230,324,9,167,,,,,6,,142,442,,,,1,,20,20,15,,5,,1,1,bharathiar university,Bharathiar University,Body/Corporation
2015,58,W,Higher Edn,Bharathiar University,0,2,6,250,256,,256,,,,,,,,,,,,2,6,7,13,13,,,,1,1,bharathiar university,Bharathiar University,Body/Corporation
2015,58,W,Higher Edn,Alagappa University,0,1,,238,238,,238,,,,,,,,464,,,,1,,5,5,5,,,,1,1,alagappa university,Alagappa University,Body/Corporation
2015,58,W,Higher Edn,Thiruvalluvar University,0,1,,21,21,,21,,,,,,,,,,,,1,,,,,,,,1,1,thiruvalluvar university,Thiruvalluvar University,Body/Corporation
2015,58,W,Higher Edn,Periyar University,0,1,216,781,997,,721,1,,,,,,275,,,,,1,35,110,145,96,1,48,,1,1,periyar university,Periyar University,Body/Corporation
2015,58,W,Higher Edn,Mother Teresa Women's University,0,1,,40,40,5,,,,,,,,35,,,,,1,,,,,,,,1,,mother teresa women s university,Mother Teresa Women's University,Body/Corporation
2015,58,W,Higher Edn,Tamil Nadu Open University,0,1,,101,101,,101,,,,,,,,,,,,1,,2,2,2,,,,1,1,open university,Tamil Nadu Open University,Body/Corporation
2015,58,W,Higher Edn,Tamil Nadu Teachers Education University,0,1,,145,145,14,131,,,,,,,,778,,,,1,,3,3,3,,,,1,1,teachers education university,Tamil Nadu Teachers Education University,Body/Corporation
2015,58,W,Higher Edn,Anna University,0,1,141,889,1030,72,844,5,,1,16,,,92,9468,,,,1,14,144,158,140,4,14,,1,1,anna university,Anna University,Body/Corporation
2015,58,W,Higher Edn,Higher Edn Total,1,129,1472,17097,18569,829,15941,11,,3,16,22,,1747,35332,,,,39,207,1057,1264,1061,5,198,,1,1,higher edn total,Higher Edn Total,HOD
2015,59,W,Home,"Highways and Minor Ports Department, Secretariat",0,4,,215,215,150,52,12,,,,,,1,,,,,2,,14,14,14,,,,1,1,highways minor ports secretariat,"Highways and Minor Ports Department, Secretariat",Secretariat
2015,59,W,Home,DirectorateHighways,0,127,15,2795,2810,644,2124,11,,1,,15,,15,,,,,70,2,197,199,195,2,2,,1,1,directoratehighways,DirectorateHighways,HOD
2015,59,W,Home,Tamil Nadu Maritime Board,0,1,,13,13,,13,,,,,,,,167,,,,1,,,,,,,,1,1,maritime board,Tamil Nadu Maritime Board,Body/Corporation
2015,59,W,Home,Poompuhar Shipping Corporation,0,3,,6,6,,6,,,,,,,,2,,,,1,,,,,,,,1,1,poompuhar shipping,Poompuhar Shipping Corporation,Body/Corporation
2015,59,W,Home,Tamil Nadu Road Infrastructure Development Corporation,0,1,,15,15,,15,,,,,,,,,,,,1,,,,,,,,1,1,road infrastructure development,Tamil Nadu Road Infrastructure Development Corporation,Body/Corporation
2015,59,W,Home,HighwaysTotal,0,136,15,3044,3059,794,2210,23,,1,,15,,16,169,,,,75,2,211,213,209,2,2,,1,1,highwaystotal,HighwaysTotal,HOD
2015,59,W,Home,"Home Prohibition and Excise (Home Wing)Department, Secretariat",0,15,,1113,1113,851,215,44,,1,,1,,1,514,,,,1,,62,62,55,6,1,,1,1,prohibition excise,Home Department Prohibition and Excise Wing,Secretariat
2015,59,W,Home,"Home, Prohibition and Excise Department (Prohibition and Excise Wing), Secretariat",0,4,,85,85,68,17,,,,,,,,,,,,1,,7,7,3,4,,,1,1,prohibition excise,Home Department Prohibition and Excise Wing,Secretariat
2015,59,W,Home,Police,0,133,738,54257,54995,3527,48055,933,17,151,273,693,,1346,685097,,,,119,82,3134,3216,2780,341,95,,1,1,police,Police Department,HOD
